schedule_id,train_id,train_no,train_name,train_type,priority_value,priority_name,final_priority,station_id,station_name,scheduled_arrival,scheduled_departure,platform_no,track_id,order_no,avg_delay_minutes
18,262,88710,Antyodaya Express,SUPERFAST,1,SUPERFAST (Highest),3.16,1,Jaipur Junction,2025-10-14 15:00:23.869,2025-10-14 15:10:23.869,3,1,1,64.9
19,262,88710,Antyodaya Express,SUPERFAST,1,SUPERFAST (Highest),3.16,1,Jaipur Junction,2025-10-14 16:32:23.869,2025-10-14 16:44:23.869,1,1,2,64.9
20,262,88710,Antyodaya Express,SUPERFAST,1,SUPERFAST (Highest),3.16,1,Jaipur Junction,2025-10-14 18:01:23.869,2025-10-14 18:10:23.869,4,1,3,64.9
21,262,88710,Antyodaya Express,SUPERFAST,1,SUPERFAST (Highest),3.16,1,Jaipur Junction,2025-10-14 19:55:23.869,2025-10-14 20:07:23.869,4,1,4,64.9
22,262,88710,Antyodaya Express,SUPERFAST,1,SUPERFAST (Highest),3.16,1,Jaipur Junction,2025-10-14 21:00:23.869,2025-10-14 21:15:23.869,2,1,5,64.9
23,262,88710,Antyodaya Express,SUPERFAST,1,SUPERFAST (Highest),3.16,2,Bais Godam,2025-10-15 00:08:23.869,2025-10-15 00:22:23.869,8,1,6,64.9
24,262,88710,Antyodaya Express,SUPERFAST,1,SUPERFAST (Highest),3.16,2,Bais Godam,2025-10-15 00:59:23.869,2025-10-15 01:05:23.869,5,1,7,64.9
25,262,88710,Antyodaya Express,SUPERFAST,1,SUPERFAST (Highest),3.16,3,Dahar Ka Balaji,2025-10-15 02:26:23.869,2025-10-15 02:32:23.869,12,1,8,64.9
26,262,88710,Antyodaya Express,SUPERFAST,1,SUPERFAST (Highest),3.16,3,Dahar Ka Balaji,2025-10-15 03:05:23.869,2025-10-15 03:13:23.869,12,1,9,64.9
27,262,88710,Antyodaya Express,SUPERFAST,1,SUPERFAST (Highest),3.16,4,Jaipur Gandhinagar,2025-10-15 03:51:23.869,2025-10-15 04:03:23.869,13,1,10,64.9
28,262,88710,Antyodaya Express,SUPERFAST,1,SUPERFAST (Highest),3.16,4,Jaipur Gandhinagar,2025-10-15 05:34:23.869,2025-10-15 05:37:23.869,14,1,11,64.9
29,262,88710,Antyodaya Express,SUPERFAST,1,SUPERFAST (Highest),3.16,5,Durgapura,2025-10-15 06:19:23.869,2025-10-15 06:27:23.869,18,1,12,64.9
30,262,88710,Antyodaya Express,SUPERFAST,1,SUPERFAST (Highest),3.16,5,Durgapura,2025-10-15 08:50:23.869,2025-10-15 08:53:23.869,16,1,13,64.9
31,262,88710,Antyodaya Express,SUPERFAST,1,SUPERFAST (Highest),3.16,5,Durgapura,2025-10-15 10:06:23.869,2025-10-15 10:10:23.869,17,1,14,64.9
32,262,88710,Antyodaya Express,SUPERFAST,1,SUPERFAST (Highest),3.16,6,Kanakpura,2025-10-15 10:52:23.869,2025-10-15 11:03:23.869,20,1,15,64.9
33,262,88710,Antyodaya Express,SUPERFAST,1,SUPERFAST (Highest),3.16,6,Kanakpura,2025-10-15 13:16:23.869,2025-10-15 13:29:23.869,20,1,16,64.9
34,262,88710,Antyodaya Express,SUPERFAST,1,SUPERFAST (Highest),3.16,6,Kanakpura,2025-10-15 16:04:45.956,2025-10-15 16:18:45.956,19,1,17,64.9
35,262,88710,Antyodaya Express,SUPERFAST,1,SUPERFAST (Highest),3.16,8,Sanganer,2025-10-15 16:35:23.869,2025-10-15 16:45:23.869,27,1,18,64.9
36,262,88710,Antyodaya Express,SUPERFAST,1,SUPERFAST (Highest),3.16,9,Bindayaka,2025-10-15 18:43:23.869,2025-10-15 18:52:23.869,31,1,19,64.9
37,262,88710,Antyodaya Express,SUPERFAST,1,SUPERFAST (Highest),3.16,9,Bindayaka,2025-10-15 20:24:23.869,2025-10-15 20:26:23.869,31,1,20,64.9
38,262,88710,Antyodaya Express,SUPERFAST,1,SUPERFAST (Highest),3.16,10,Khatipura,2025-10-15 22:56:23.869,2025-10-15 23:06:23.869,37,1,21,64.9
39,262,88710,Antyodaya Express,SUPERFAST,1,SUPERFAST (Highest),3.16,10,Khatipura,2025-10-15 23:42:23.869,2025-10-15 23:46:23.869,36,1,22,64.9
40,262,88710,Antyodaya Express,SUPERFAST,1,SUPERFAST (Highest),3.16,10,Khatipura,2025-10-16 02:41:23.869,2025-10-16 02:47:23.869,35,1,23,64.9
41,233,70165,Antyodaya Express,SUPERFAST,1,SUPERFAST (Highest),3.19,1,Jaipur Junction,2025-10-10 09:03:12.862,2025-10-10 09:08:12.862,3,1,1,65.8
42,233,70165,Antyodaya Express,SUPERFAST,1,SUPERFAST (Highest),3.19,1,Jaipur Junction,2025-10-10 10:04:12.862,2025-10-10 10:19:12.862,3,1,2,65.8
43,233,70165,Antyodaya Express,SUPERFAST,1,SUPERFAST (Highest),3.19,1,Jaipur Junction,2025-10-10 12:13:12.862,2025-10-10 12:22:12.862,4,1,3,65.8
44,233,70165,Antyodaya Express,SUPERFAST,1,SUPERFAST (Highest),3.19,2,Bais Godam,2025-10-10 13:30:53.708,2025-10-10 13:35:53.708,9,1,4,65.8
45,233,70165,Antyodaya Express,SUPERFAST,1,SUPERFAST (Highest),3.19,2,Bais Godam,2025-10-10 15:16:12.862,2025-10-10 15:23:12.862,8,1,5,65.8
46,233,70165,Antyodaya Express,SUPERFAST,1,SUPERFAST (Highest),3.19,3,Dahar Ka Balaji,2025-10-10 18:11:12.862,2025-10-10 18:20:12.862,11,1,6,65.8
47,233,70165,Antyodaya Express,SUPERFAST,1,SUPERFAST (Highest),3.19,3,Dahar Ka Balaji,2025-10-10 19:33:12.862,2025-10-10 19:38:12.862,12,1,7,65.8
48,233,70165,Antyodaya Express,SUPERFAST,1,SUPERFAST (Highest),3.19,3,Dahar Ka Balaji,2025-10-10 20:43:12.862,2025-10-10 20:46:12.862,10,1,8,65.8
49,233,70165,Antyodaya Express,SUPERFAST,1,SUPERFAST (Highest),3.19,3,Dahar Ka Balaji,2025-10-10 21:36:12.862,2025-10-10 21:51:12.862,11,1,9,65.8
50,233,70165,Antyodaya Express,SUPERFAST,1,SUPERFAST (Highest),3.19,4,Jaipur Gandhinagar,2025-10-10 23:10:12.862,2025-10-10 23:17:12.862,15,1,10,65.8
51,233,70165,Antyodaya Express,SUPERFAST,1,SUPERFAST (Highest),3.19,4,Jaipur Gandhinagar,2025-10-11 01:31:12.862,2025-10-11 01:37:12.862,14,1,11,65.8
52,233,70165,Antyodaya Express,SUPERFAST,1,SUPERFAST (Highest),3.19,5,Durgapura,2025-10-11 02:43:12.862,2025-10-11 02:54:12.862,18,1,12,65.8
53,233,70165,Antyodaya Express,SUPERFAST,1,SUPERFAST (Highest),3.19,6,Kanakpura,2025-10-11 05:44:12.862,2025-10-11 05:59:12.862,21,1,13,65.8
54,233,70165,Antyodaya Express,SUPERFAST,1,SUPERFAST (Highest),3.19,6,Kanakpura,2025-10-11 08:03:12.862,2025-10-11 08:17:12.862,20,1,14,65.8
55,233,70165,Antyodaya Express,SUPERFAST,1,SUPERFAST (Highest),3.19,7,Getor Jagatpura,2025-10-11 10:49:12.862,2025-10-11 10:58:12.862,25,1,15,65.8
56,233,70165,Antyodaya Express,SUPERFAST,1,SUPERFAST (Highest),3.19,7,Getor Jagatpura,2025-10-11 13:29:12.862,2025-10-11 13:35:12.862,22,1,16,65.8
57,233,70165,Antyodaya Express,SUPERFAST,1,SUPERFAST (Highest),3.19,7,Getor Jagatpura,2025-10-11 16:28:12.862,2025-10-11 16:40:12.862,24,1,17,65.8
58,233,70165,Antyodaya Express,SUPERFAST,1,SUPERFAST (Highest),3.19,8,Sanganer,2025-10-11 18:58:12.862,2025-10-11 19:00:12.862,27,1,18,65.8
59,233,70165,Antyodaya Express,SUPERFAST,1,SUPERFAST (Highest),3.19,8,Sanganer,2025-10-11 20:10:12.862,2025-10-11 20:13:12.862,26,1,19,65.8
60,233,70165,Antyodaya Express,SUPERFAST,1,SUPERFAST (Highest),3.19,9,Bindayaka,2025-10-11 22:58:12.862,2025-10-11 23:13:12.862,33,1,20,65.8
61,233,70165,Antyodaya Express,SUPERFAST,1,SUPERFAST (Highest),3.19,9,Bindayaka,2025-10-12 01:27:12.862,2025-10-12 01:30:12.862,33,1,21,65.8
62,233,70165,Antyodaya Express,SUPERFAST,1,SUPERFAST (Highest),3.19,10,Khatipura,2025-10-12 03:36:12.862,2025-10-12 03:43:12.862,35,1,22,65.8
63,233,70165,Antyodaya Express,SUPERFAST,1,SUPERFAST (Highest),3.19,10,Khatipura,2025-10-12 05:27:12.862,2025-10-12 05:30:12.862,35,1,23,65.8
64,233,70165,Antyodaya Express,SUPERFAST,1,SUPERFAST (Highest),3.19,10,Khatipura,2025-10-12 06:56:12.862,2025-10-12 07:00:12.862,38,1,24,65.8
65,190,70120,Duronto Express,SUPERFAST,1,SUPERFAST (Highest),3.19,1,Jaipur Junction,2025-10-10 04:09:19.947,2025-10-10 04:23:19.947,4,1,1,65.8
66,190,70120,Duronto Express,SUPERFAST,1,SUPERFAST (Highest),3.19,1,Jaipur Junction,2025-10-10 05:28:19.947,2025-10-10 05:43:19.947,1,1,2,65.8
67,190,70120,Duronto Express,SUPERFAST,1,SUPERFAST (Highest),3.19,2,Bais Godam,2025-10-10 08:02:19.947,2025-10-10 08:11:19.947,9,1,3,65.8
68,190,70120,Duronto Express,SUPERFAST,1,SUPERFAST (Highest),3.19,3,Dahar Ka Balaji,2025-10-10 08:46:35.992,2025-10-10 08:48:35.992,10,1,4,65.8
69,190,70120,Duronto Express,SUPERFAST,1,SUPERFAST (Highest),3.19,3,Dahar Ka Balaji,2025-10-10 10:59:40.538,2025-10-10 11:02:40.538,12,1,5,65.8
70,190,70120,Duronto Express,SUPERFAST,1,SUPERFAST (Highest),3.19,3,Dahar Ka Balaji,2025-10-10 12:32:19.947,2025-10-10 12:40:19.947,10,1,6,65.8
71,190,70120,Duronto Express,SUPERFAST,1,SUPERFAST (Highest),3.19,4,Jaipur Gandhinagar,2025-10-10 14:02:19.947,2025-10-10 14:13:19.947,13,1,7,65.8
72,190,70120,Duronto Express,SUPERFAST,1,SUPERFAST (Highest),3.19,5,Durgapura,2025-10-10 16:59:19.947,2025-10-10 17:09:19.947,16,1,8,65.8
73,190,70120,Duronto Express,SUPERFAST,1,SUPERFAST (Highest),3.19,6,Kanakpura,2025-10-10 17:51:19.947,2025-10-10 17:59:19.947,19,1,9,65.8
74,190,70120,Duronto Express,SUPERFAST,1,SUPERFAST (Highest),3.19,6,Kanakpura,2025-10-10 19:48:19.947,2025-10-10 19:55:19.947,20,1,10,65.8
75,190,70120,Duronto Express,SUPERFAST,1,SUPERFAST (Highest),3.19,7,Getor Jagatpura,2025-10-10 21:53:19.947,2025-10-10 21:56:19.947,25,1,11,65.8
76,190,70120,Duronto Express,SUPERFAST,1,SUPERFAST (Highest),3.19,8,Sanganer,2025-10-11 00:33:19.947,2025-10-11 00:43:19.947,29,1,12,65.8
77,190,70120,Duronto Express,SUPERFAST,1,SUPERFAST (Highest),3.19,9,Bindayaka,2025-10-11 03:35:19.947,2025-10-11 03:50:19.947,31,1,13,65.8
78,190,70120,Duronto Express,SUPERFAST,1,SUPERFAST (Highest),3.19,10,Khatipura,2025-10-11 05:54:19.947,2025-10-11 06:05:19.947,35,1,14,65.8
79,399,38610,Vande Bharat Express,SUPERFAST,1,SUPERFAST (Highest),3.2,1,Jaipur Junction,2025-10-20 21:09:44.118,2025-10-20 21:14:44.118,2,1,1,65.9
80,399,38610,Vande Bharat Express,SUPERFAST,1,SUPERFAST (Highest),3.2,1,Jaipur Junction,2025-10-20 23:02:44.118,2025-10-20 23:13:44.118,4,1,2,65.9
81,399,38610,Vande Bharat Express,SUPERFAST,1,SUPERFAST (Highest),3.2,1,Jaipur Junction,2025-10-21 00:52:44.118,2025-10-21 00:54:44.118,4,1,3,65.9
82,399,38610,Vande Bharat Express,SUPERFAST,1,SUPERFAST (Highest),3.2,2,Bais Godam,2025-10-21 03:11:44.118,2025-10-21 03:21:44.118,8,1,4,65.9
83,399,38610,Vande Bharat Express,SUPERFAST,1,SUPERFAST (Highest),3.2,2,Bais Godam,2025-10-21 05:32:44.118,2025-10-21 05:38:44.118,5,1,5,65.9
84,399,38610,Vande Bharat Express,SUPERFAST,1,SUPERFAST (Highest),3.2,2,Bais Godam,2025-10-21 06:34:44.118,2025-10-21 06:36:44.118,7,1,6,65.9
85,399,38610,Vande Bharat Express,SUPERFAST,1,SUPERFAST (Highest),3.2,2,Bais Godam,2025-10-21 08:40:44.118,2025-10-21 08:48:44.118,6,1,7,65.9
86,399,38610,Vande Bharat Express,SUPERFAST,1,SUPERFAST (Highest),3.2,2,Bais Godam,2025-10-21 09:34:44.118,2025-10-21 09:36:44.118,7,1,8,65.9
87,399,38610,Vande Bharat Express,SUPERFAST,1,SUPERFAST (Highest),3.2,3,Dahar Ka Balaji,2025-10-21 10:42:28.695,2025-10-21 10:56:28.695,12,1,9,65.9
88,399,38610,Vande Bharat Express,SUPERFAST,1,SUPERFAST (Highest),3.2,3,Dahar Ka Balaji,2025-10-21 11:20:44.118,2025-10-21 11:22:44.118,10,1,10,65.9
89,399,38610,Vande Bharat Express,SUPERFAST,1,SUPERFAST (Highest),3.2,3,Dahar Ka Balaji,2025-10-21 14:07:44.118,2025-10-21 14:21:44.118,10,1,11,65.9
90,399,38610,Vande Bharat Express,SUPERFAST,1,SUPERFAST (Highest),3.2,3,Dahar Ka Balaji,2025-10-21 16:56:44.118,2025-10-21 17:06:44.118,12,1,12,65.9
91,399,38610,Vande Bharat Express,SUPERFAST,1,SUPERFAST (Highest),3.2,3,Dahar Ka Balaji,2025-10-21 19:45:44.118,2025-10-21 19:49:44.118,11,1,13,65.9
92,399,38610,Vande Bharat Express,SUPERFAST,1,SUPERFAST (Highest),3.2,3,Dahar Ka Balaji,2025-10-21 22:06:44.118,2025-10-21 22:15:44.118,11,1,14,65.9
93,399,38610,Vande Bharat Express,SUPERFAST,1,SUPERFAST (Highest),3.2,4,Jaipur Gandhinagar,2025-10-22 00:00:44.118,2025-10-22 00:02:44.118,15,1,15,65.9
94,399,38610,Vande Bharat Express,SUPERFAST,1,SUPERFAST (Highest),3.2,4,Jaipur Gandhinagar,2025-10-22 02:28:44.118,2025-10-22 02:31:44.118,15,1,16,65.9
95,399,38610,Vande Bharat Express,SUPERFAST,1,SUPERFAST (Highest),3.2,5,Durgapura,2025-10-22 04:52:44.118,2025-10-22 05:07:44.118,17,1,17,65.9
96,399,38610,Vande Bharat Express,SUPERFAST,1,SUPERFAST (Highest),3.2,5,Durgapura,2025-10-22 06:02:44.118,2025-10-22 06:11:44.118,17,1,18,65.9
97,399,38610,Vande Bharat Express,SUPERFAST,1,SUPERFAST (Highest),3.2,5,Durgapura,2025-10-22 06:46:44.118,2025-10-22 06:57:44.118,16,1,19,65.9
98,399,38610,Vande Bharat Express,SUPERFAST,1,SUPERFAST (Highest),3.2,5,Durgapura,2025-10-22 07:46:44.118,2025-10-22 08:01:44.118,17,1,20,65.9
99,399,38610,Vande Bharat Express,SUPERFAST,1,SUPERFAST (Highest),3.2,6,Kanakpura,2025-10-22 09:40:44.118,2025-10-22 09:50:44.118,19,1,21,65.9
100,399,38610,Vande Bharat Express,SUPERFAST,1,SUPERFAST (Highest),3.2,6,Kanakpura,2025-10-22 11:10:44.118,2025-10-22 11:15:44.118,20,1,22,65.9
101,399,38610,Vande Bharat Express,SUPERFAST,1,SUPERFAST (Highest),3.2,6,Kanakpura,2025-10-22 13:54:44.118,2025-10-22 13:56:44.118,19,1,23,65.9
102,399,38610,Vande Bharat Express,SUPERFAST,1,SUPERFAST (Highest),3.2,6,Kanakpura,2025-10-22 16:12:44.118,2025-10-22 16:16:44.118,19,1,24,65.9
103,399,38610,Vande Bharat Express,SUPERFAST,1,SUPERFAST (Highest),3.2,6,Kanakpura,2025-10-22 16:54:44.118,2025-10-22 17:00:44.118,21,1,25,65.9
104,399,38610,Vande Bharat Express,SUPERFAST,1,SUPERFAST (Highest),3.2,6,Kanakpura,2025-10-22 19:06:44.118,2025-10-22 19:15:44.118,21,1,26,65.9
105,399,38610,Vande Bharat Express,SUPERFAST,1,SUPERFAST (Highest),3.2,7,Getor Jagatpura,2025-10-22 20:02:44.118,2025-10-22 20:11:44.118,23,1,27,65.9
106,399,38610,Vande Bharat Express,SUPERFAST,1,SUPERFAST (Highest),3.2,8,Sanganer,2025-10-22 21:24:44.118,2025-10-22 21:39:44.118,29,1,28,65.9
107,399,38610,Vande Bharat Express,SUPERFAST,1,SUPERFAST (Highest),3.2,8,Sanganer,2025-10-23 00:29:44.118,2025-10-23 00:32:44.118,28,1,29,65.9
108,399,38610,Vande Bharat Express,SUPERFAST,1,SUPERFAST (Highest),3.2,8,Sanganer,2025-10-23 02:53:44.118,2025-10-23 03:07:44.118,26,1,30,65.9
109,399,38610,Vande Bharat Express,SUPERFAST,1,SUPERFAST (Highest),3.2,9,Bindayaka,2025-10-23 03:51:25.431,2025-10-23 03:58:25.431,31,1,31,65.9
110,399,38610,Vande Bharat Express,SUPERFAST,1,SUPERFAST (Highest),3.2,10,Khatipura,2025-10-23 05:08:44.118,2025-10-23 05:16:44.118,37,1,32,65.9
111,399,38610,Vande Bharat Express,SUPERFAST,1,SUPERFAST (Highest),3.2,10,Khatipura,2025-10-23 07:36:44.118,2025-10-23 07:49:44.118,37,1,33,65.9
112,80,31586,Premium Tatkal Express,SUPERFAST,1,SUPERFAST (Highest),3.21,1,Jaipur Junction,2025-10-03 08:09:56.906,2025-10-03 08:24:56.906,3,1,1,66.2
113,80,31586,Premium Tatkal Express,SUPERFAST,1,SUPERFAST (Highest),3.21,1,Jaipur Junction,2025-10-03 11:01:56.906,2025-10-03 11:15:56.906,1,1,2,66.2
114,80,31586,Premium Tatkal Express,SUPERFAST,1,SUPERFAST (Highest),3.21,1,Jaipur Junction,2025-10-03 12:33:56.906,2025-10-03 12:44:56.906,2,1,3,66.2
115,80,31586,Premium Tatkal Express,SUPERFAST,1,SUPERFAST (Highest),3.21,1,Jaipur Junction,2025-10-03 14:08:56.906,2025-10-03 14:11:56.906,4,1,4,66.2
116,80,31586,Premium Tatkal Express,SUPERFAST,1,SUPERFAST (Highest),3.21,1,Jaipur Junction,2025-10-03 15:47:56.906,2025-10-03 15:49:56.906,4,1,5,66.2
117,80,31586,Premium Tatkal Express,SUPERFAST,1,SUPERFAST (Highest),3.21,2,Bais Godam,2025-10-03 17:20:56.906,2025-10-03 17:25:56.906,8,1,6,66.2
118,80,31586,Premium Tatkal Express,SUPERFAST,1,SUPERFAST (Highest),3.21,3,Dahar Ka Balaji,2025-10-03 18:09:56.906,2025-10-03 18:24:56.906,11,1,7,66.2
119,80,31586,Premium Tatkal Express,SUPERFAST,1,SUPERFAST (Highest),3.21,5,Durgapura,2025-10-03 20:52:56.906,2025-10-03 21:06:56.906,18,1,8,66.2
120,80,31586,Premium Tatkal Express,SUPERFAST,1,SUPERFAST (Highest),3.21,5,Durgapura,2025-10-03 22:17:56.906,2025-10-03 22:22:56.906,17,1,9,66.2
121,80,31586,Premium Tatkal Express,SUPERFAST,1,SUPERFAST (Highest),3.21,6,Kanakpura,2025-10-04 00:05:56.906,2025-10-04 00:19:56.906,20,1,10,66.2
122,80,31586,Premium Tatkal Express,SUPERFAST,1,SUPERFAST (Highest),3.21,6,Kanakpura,2025-10-04 01:05:56.906,2025-10-04 01:11:56.906,20,1,11,66.2
123,80,31586,Premium Tatkal Express,SUPERFAST,1,SUPERFAST (Highest),3.21,7,Getor Jagatpura,2025-10-04 03:46:56.906,2025-10-04 03:49:56.906,25,1,12,66.2
124,80,31586,Premium Tatkal Express,SUPERFAST,1,SUPERFAST (Highest),3.21,7,Getor Jagatpura,2025-10-04 05:32:56.906,2025-10-04 05:42:56.906,23,1,13,66.2
125,80,31586,Premium Tatkal Express,SUPERFAST,1,SUPERFAST (Highest),3.21,8,Sanganer,2025-10-04 08:39:56.906,2025-10-04 08:43:56.906,26,1,14,66.2
126,80,31586,Premium Tatkal Express,SUPERFAST,1,SUPERFAST (Highest),3.21,9,Bindayaka,2025-10-04 11:09:56.906,2025-10-04 11:12:56.906,32,1,15,66.2
127,80,31586,Premium Tatkal Express,SUPERFAST,1,SUPERFAST (Highest),3.21,9,Bindayaka,2025-10-04 12:30:56.906,2025-10-04 12:42:56.906,34,1,16,66.2
128,80,31586,Premium Tatkal Express,SUPERFAST,1,SUPERFAST (Highest),3.21,9,Bindayaka,2025-10-04 15:06:56.906,2025-10-04 15:19:56.906,34,1,17,66.2
129,80,31586,Premium Tatkal Express,SUPERFAST,1,SUPERFAST (Highest),3.21,9,Bindayaka,2025-10-04 18:27:58.194,2025-10-04 18:32:58.194,34,1,18,66.2
130,80,31586,Premium Tatkal Express,SUPERFAST,1,SUPERFAST (Highest),3.21,9,Bindayaka,2025-10-04 19:56:56.906,2025-10-04 20:05:56.906,34,1,19,66.2
131,80,31586,Premium Tatkal Express,SUPERFAST,1,SUPERFAST (Highest),3.21,9,Bindayaka,2025-10-04 20:51:56.906,2025-10-04 20:54:56.906,34,1,20,66.2
132,80,31586,Premium Tatkal Express,SUPERFAST,1,SUPERFAST (Highest),3.21,9,Bindayaka,2025-10-04 23:30:56.906,2025-10-04 23:44:56.906,32,1,21,66.2
133,80,31586,Premium Tatkal Express,SUPERFAST,1,SUPERFAST (Highest),3.21,10,Khatipura,2025-10-05 01:41:56.906,2025-10-05 01:47:56.906,38,1,22,66.2
134,392,90032,Ajmer Shatabdi,SUPERFAST,1,SUPERFAST (Highest),3.22,1,Jaipur Junction,2025-10-01 11:47:18.507,2025-10-01 11:53:18.507,4,1,1,66.5
135,392,90032,Ajmer Shatabdi,SUPERFAST,1,SUPERFAST (Highest),3.22,1,Jaipur Junction,2025-10-01 14:28:18.507,2025-10-01 14:30:18.507,3,1,2,66.5
136,392,90032,Ajmer Shatabdi,SUPERFAST,1,SUPERFAST (Highest),3.22,1,Jaipur Junction,2025-10-01 16:23:18.507,2025-10-01 16:34:18.507,1,1,3,66.5
137,392,90032,Ajmer Shatabdi,SUPERFAST,1,SUPERFAST (Highest),3.22,1,Jaipur Junction,2025-10-01 19:26:18.507,2025-10-01 19:39:18.507,1,1,4,66.5
138,392,90032,Ajmer Shatabdi,SUPERFAST,1,SUPERFAST (Highest),3.22,4,Jaipur Gandhinagar,2025-10-01 21:04:41.908,2025-10-01 21:18:41.908,15,1,5,66.5
139,392,90032,Ajmer Shatabdi,SUPERFAST,1,SUPERFAST (Highest),3.22,5,Durgapura,2025-10-01 23:17:18.507,2025-10-01 23:30:18.507,17,1,6,66.5
140,392,90032,Ajmer Shatabdi,SUPERFAST,1,SUPERFAST (Highest),3.22,5,Durgapura,2025-10-02 01:45:18.507,2025-10-02 01:51:18.507,16,1,7,66.5
141,392,90032,Ajmer Shatabdi,SUPERFAST,1,SUPERFAST (Highest),3.22,6,Kanakpura,2025-10-02 04:10:18.507,2025-10-02 04:19:18.507,20,1,8,66.5
142,392,90032,Ajmer Shatabdi,SUPERFAST,1,SUPERFAST (Highest),3.22,6,Kanakpura,2025-10-02 05:15:18.507,2025-10-02 05:21:18.507,20,1,9,66.5
143,392,90032,Ajmer Shatabdi,SUPERFAST,1,SUPERFAST (Highest),3.22,7,Getor Jagatpura,2025-10-02 06:12:18.507,2025-10-02 06:22:18.507,22,1,10,66.5
144,392,90032,Ajmer Shatabdi,SUPERFAST,1,SUPERFAST (Highest),3.22,7,Getor Jagatpura,2025-10-02 07:16:18.507,2025-10-02 07:31:18.507,25,1,11,66.5
145,392,90032,Ajmer Shatabdi,SUPERFAST,1,SUPERFAST (Highest),3.22,7,Getor Jagatpura,2025-10-02 08:31:18.507,2025-10-02 08:44:18.507,24,1,12,66.5
146,392,90032,Ajmer Shatabdi,SUPERFAST,1,SUPERFAST (Highest),3.22,7,Getor Jagatpura,2025-10-02 11:29:18.507,2025-10-02 11:38:18.507,24,1,13,66.5
147,392,90032,Ajmer Shatabdi,SUPERFAST,1,SUPERFAST (Highest),3.22,8,Sanganer,2025-10-02 12:47:18.507,2025-10-02 12:56:18.507,26,1,14,66.5
148,392,90032,Ajmer Shatabdi,SUPERFAST,1,SUPERFAST (Highest),3.22,8,Sanganer,2025-10-02 14:44:18.507,2025-10-02 14:52:18.507,28,1,15,66.5
